Flow_ID,Agent_Prediction,Ground_Truth,Match,Anomaly_Score,Threshold_Exceeded,Attack_Category,Classification
1,0,0,CORRECT,0.00005929,False,Normal,N/A
2,1,0,INCORRECT,0.00021237,True,Normal,Classified as SUSPICIOUS
3,1,0,INCORRECT,0.00014288,True,Normal,Classified as SUSPICIOUS
4,1,0,INCORRECT,0.00015251,True,Normal,Classified as SUSPICIOUS
5,0,0,CORRECT,0.00005946,False,Normal,N/A
6,1,0,INCORRECT,0.00019835,True,Normal,Classified as SUSPICIOUS
7,1,0,INCORRECT,0.00597323,True,Normal,Classified as BENIGN
8,1,0,INCORRECT,0.00009784,True,Normal,Classified as SUSPICIOUS
9,1,0,INCORRECT,0.00010076,True,Normal,Classified as SUSPICIOUS
10,1,0,INCORRECT,0.00597323,True,Normal,Classified as BENIGN
11,1,0,INCORRECT,0.00597323,True,Normal,Classified as BENIGN
12,1,0,INCORRECT,0.00597323,True,Normal,Classified as BENIGN
13,1,0,INCORRECT,0.00008409,True,Normal,Classified as SUSPICIOUS
14,0,0,CORRECT,0.00004253,False,Normal,N/A
15,0,0,CORRECT,0.00005532,False,Normal,N/A
16,1,0,INCORRECT,0.00011128,True,Normal,Classified as SUSPICIOUS
17,0,0,CORRECT,0.00004282,False,Normal,N/A
18,0,0,CORRECT,0.00005549,False,Normal,N/A
19,1,0,INCORRECT,0.00012749,True,Normal,Classified as SUSPICIOUS
20,1,0,INCORRECT,0.00011106,True,Normal,Classified as ZERO-DAY
21,1,0,INCORRECT,0.00075189,True,Normal,Classified as SUSPICIOUS
22,1,0,INCORRECT,0.00031452,True,Normal,Classified as SUSPICIOUS
23,1,0,INCORRECT,0.00008187,True,Normal,Classified as SUSPICIOUS
24,1,0,INCORRECT,0.00010688,True,Normal,Classified as ZERO-DAY
25,1,0,INCORRECT,0.00008567,True,Normal,Classified as SUSPICIOUS
26,1,0,INCORRECT,0.00010014,True,Normal,Classified as ZERO-DAY
27,1,0,INCORRECT,0.00010204,True,Normal,N/A
28,1,0,INCORRECT,0.00007126,True,Normal,N/A
29,1,0,INCORRECT,0.00010863,True,Normal,N/A
30,1,0,INCORRECT,0.00007647,True,Normal,N/A
31,1,0,INCORRECT,0.00011627,True,Normal,Classified as ZERO-DAY
32,1,0,INCORRECT,0.00009069,True,Normal,Classified as SUSPICIOUS
33,0,0,CORRECT,0.00006840,False,Normal,N/A
34,1,0,INCORRECT,0.00016603,True,Normal,Classified as ZERO-DAY
35,0,0,CORRECT,0.00006062,False,Normal,N/A
36,1,0,INCORRECT,0.00009956,True,Normal,Classified as SUSPICIOUS
37,1,0,INCORRECT,0.00007296,True,Normal,Classified as ZERO-DAY
38,1,0,INCORRECT,0.00013476,True,Normal,Classified as SUSPICIOUS
39,1,0,INCORRECT,0.00038503,True,Normal,Classified as SUSPICIOUS
40,1,0,INCORRECT,0.00032013,True,Normal,Classified as SUSPICIOUS
41,1,0,INCORRECT,0.00007646,True,Normal,Classified as SUSPICIOUS
42,1,0,INCORRECT,0.00013763,True,Normal,Classified as ZERO-DAY
43,0,0,CORRECT,0.00003594,False,Normal,N/A
44,1,0,INCORRECT,0.00008065,True,Normal,Classified as SUSPICIOUS
45,0,0,CORRECT,0.00003363,False,Normal,N/A
46,1,0,INCORRECT,0.00010887,True,Normal,Classified as ZERO-DAY
47,1,0,INCORRECT,0.00009151,True,Normal,Classified as SUSPICIOUS
48,1,0,INCORRECT,0.00010016,True,Normal,Classified as SUSPICIOUS
49,1,0,INCORRECT,0.00018827,True,Normal,Classified as SUSPICIOUS
50,1,0,INCORRECT,0.00019837,True,Normal,Classified as ZERO-DAY
51,0,0,CORRECT,0.00006164,False,Normal,N/A
52,0,0,CORRECT,0.00005919,False,Normal,N/A
53,1,0,INCORRECT,0.00010686,True,Normal,Classified as SUSPICIOUS
54,1,0,INCORRECT,0.00012418,True,Normal,Classified as SUSPICIOUS
55,1,0,INCORRECT,0.00009914,True,Normal,Classified as ZERO-DAY
56,1,0,INCORRECT,0.00022205,True,Normal,Classified as ZERO-DAY
57,1,0,INCORRECT,0.00067685,True,Normal,Classified as SUSPICIOUS
58,1,0,INCORRECT,0.00024293,True,Normal,Classified as SUSPICIOUS
59,0,0,CORRECT,0.00006643,False,Normal,N/A
60,1,0,INCORRECT,0.00007505,True,Normal,Classified as ZERO-DAY
